Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","16416.748498","X","Chiffre de source externe",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","396.015997","X","Chiffre de source externe",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","15.81485","X","Chiffre de source externe",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","13.367738","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","377781.597328","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","5976.385898","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","-6.782931","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","-8.012762","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","22977.674003","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","8172.294966","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","21.469728","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","22.158933","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","247626.160409","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","5364.027937","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","9.744662","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","8.111885","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","4525703.903628","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","53528.073268","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","8.69699","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","8.103028","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","3785.067332","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","46812.44845","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","11.963949","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","10.370121","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","90552.164127","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","2464.010769","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","-20.080124","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","-22.504643","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","415.735284","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","28850.470815","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","6.880503","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","5.17086","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","2033.085185","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","21787.218471","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","8.850486","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","8.295825","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","1067582.98628","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","32093.96389","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","-3.697419","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","-6.849982","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","646075.278252","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","14187.482741","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","2.099504","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","1.806923","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","24218.587333","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","8228.118818","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","24.11083","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","21.474681","X","Chiffre de source externe",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","3648.573136","X","Chiffre de source externe",""
"MK","Indicateurs macro","533","Aruba","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","33802.333146","X","Chiffre de source externe",""
"MK","Indicateurs macro","533","Aruba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","11.259253","X","Chiffre de source externe",""
"MK","Indicateurs macro","533","Aruba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","11.097938","X","Chiffre de source externe",""
"MK","Indicateurs macro","036","Australie","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","1775627.733298","X","Chiffre de source externe",""
"MK","Indicateurs macro","036","Australie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","67128.630651","X","Chiffre de source externe",""
"MK","Indicateurs macro","036","Australie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","-0.298094","X","Chiffre de source externe",""
"MK","Indicateurs macro","036","Australie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","-1.240942","X","Chiffre de source externe",""
"MK","Indicateurs macro","040","Autriche","6110","Valeur US$","22008","Produit Intérieur Brut","2023","2023","Millions d’USD","511685.203845","X","Chiffre de source externe",""
"MK","Indicateurs macro","040","Autriche","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2023","2023","USD","56041.748295","X","Chiffre de source externe",""
"MK","Indicateurs macro","040","Autriche","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2023","2023","%","8.459899","X","Chiffre de source externe",""
"MK","Indicateurs macro","040","Autriche","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2023","2023","%","7.678835","X","Chiffre de source externe",""
