Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","29","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","5","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","34","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","34","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","46541.5","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","1867","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","329","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","2146","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","2146","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","2953439.65","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","18","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","52","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","70","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","70","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","96598.35","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","458","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","456","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","456","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","620961.39","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","1531","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","777","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","1508","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","1418","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","1904643.25","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","60","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","212","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","272","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","272","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","374836.05","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5611","Importations - quantité","S2734","Viande de Volailles","2023","2023","1000 t","7","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5301","Disponibilité intérieure","S2734","Viande de Volailles","2023","2023","1000 t","7","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2734","Viande de Volailles","2023","2023","1000 t","6","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2023","2023","millions de kcal","8736.2","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5511","Production","S2734","Viande de Volailles","2023","2023","1000 t","1050","I","Valeur imputée par une agence réceptrice",""
