Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","9275","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","2524","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","457","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","14207","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","8545","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","5555","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","012","Algérie","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","4922","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","012","Algérie","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","33284","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","276","Allemagne","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","111823","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","276","Allemagne","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","168149","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","024","Angola","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","717","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","024","Angola","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","1383","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","0","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","17","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","682","Arabie saoudite","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","343","I","Valeur imputée par une agence réceptrice",""
"TCL","Cultures et produits animaux","682","Arabie saoudite","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","31672","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","032","Argentine","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","28","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","032","Argentine","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","22913","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","051","Arménie","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","309","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","051","Arménie","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","3405","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","040","Autriche","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","22682","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","040","Autriche","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","61961","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","924","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","12639","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","044","Bahamas","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","62","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","044","Bahamas","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","242","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","048","Bahreïn","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","6","I","Valeur imputée par une agence réceptrice",""
"TCL","Cultures et produits animaux","048","Bahreïn","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","227","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","050","Bangladesh","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","2246","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","050","Bangladesh","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","21629","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","112","Bélarus","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","4829","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","112","Bélarus","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","10841","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","056","Belgique","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","101413","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","056","Belgique","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","244074","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","084","Belize","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","111","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","084","Belize","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","835","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","204","Bénin","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","93","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","204","Bénin","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","892","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","064","Bhoutan","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","917","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","064","Bhoutan","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","629","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","1911","I","Valeur imputée par une agence réceptrice",""
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","15553","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","38441","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","3778","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","072","Botswana","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","072","Botswana","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","1764","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","076","Brésil","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","3","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","076","Brésil","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","525","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","1881","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","1900","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","100","Bulgarie","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","2887","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","100","Bulgarie","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","8316","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","854","Burkina Faso","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","1574","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","854","Burkina Faso","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","424","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","108","Burundi","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","138","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","108","Burundi","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","368","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","132","Cabo Verde","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","199","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","132","Cabo Verde","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","338","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","116","Cambodge","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","117","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","116","Cambodge","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","2200","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","120","Cameroun","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","61","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","120","Cameroun","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","4355","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","124","Canada","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","30945","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","124","Canada","5622","Importations - valeur","02151","Poulets","2023","2023","1000 USD","73145","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","152","Chili","5609","Importations - quantité","02151","Poulets","2023","2023","1000 têtes","26","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
