French;English_standard
Afghanistan;Afghanistan
Afrique du Sud;South Africa
Albanie;Albania
Algérie;Algeria
Allemagne;Germany
Andorre;Andorra
Angola;Angola
Anguilla;Anguilla
Antigua-et-Barbuda;Antigua and Barbuda
Arabie saoudite;Saudi Arabia
Argentine;Argentina
Arménie;Armenia
Aruba;Aruba
Ascension, Sainte-Hélène et Tristan da Cunha;Ascension, Saint Helena and Tristan da Cunha
Australie;Australia
Autriche;Austria
Azerbaïdjan;Azerbaijan
Bahamas;Bahamas, The
Bahreïn;Bahrain
Bangladesh;Bangladesh
Barbade;Barbados
Belgique;Belgium
Belize;Belize
Bermudes;Bermuda
Bhoutan;Bhutan
Bolivie (État plurinational de);Bolivia
Bonaire, Saint-Eustache et Saba;Bonaire, Sint Eustatius and Saba
Bosnie-Herzégovine;Bosnia and Herzegovina
Botswana;Botswana
Brunéi Darussalam;Brunei Darussalam
Brésil;Brazil
Bulgarie;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Bélarus;Belarus
Bénin;Benin
Cabo Verde;Cabo Verde
Cambodge;Cambodia
Cameroun;Cameroon
Canada;Canada
Chili;Chile
Chine;China
Chine - RAS de Hong-Kong;Hong Kong SAR, China
Chine - RAS de Macao;Macao SAR, China
Chine, Taiwan Province de;Taiwan
Chine, continentale;China
Chypre;Cyprus
Colombie;Colombia
Comores;Comoros
Congo;Congo, Rep.
Costa Rica;Costa Rica
Croatie;Croatia
Cuba;Cuba
Curaçao;Curaçao
Côte d'Ivoire;Côte d’Ivoire
Danemark;Denmark
Djibouti;Djibouti
Dominique;Dominica
El Salvador;El Salvador
Espagne;Spain
Estonie;Estonia
Eswatini;Eswatini
Fidji;Fiji
Finlande;Finland
France;France
Fédération de Russie;Russian Federation
Gabon;Gabon
Gambie;Gambia, The
Ghana;Ghana
Gibraltar;Gibraltar
Grenade;Grenada
Groenland;Greenland
Grèce;Greece
Guadeloupe;Guadeloupe
Guam;Guam
Guatemala;Guatemala
Guinée;Guinea
Guinée équatoriale;Equatorial Guinea
Guinée-Bissau;Guinea-Bissau
Guyana;Guyana
Guyane française;French Guiana
Géorgie;Georgia
Haïti;Haiti
Honduras;Honduras
Hongrie;Hungary
Inde;India
Indonésie;Indonesia
Iran (République islamique d');Iran, Islamic Rep.
Iraq;Iraq
Irlande;Ireland
Islande;Iceland
Israël;Israel
Italie;Italy
Jamaïque;Jamaica
Japon;Japan
Jordanie;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kirghizistan;Kyrgyz Republic
Kiribati;Kiribati
Koweït;Kuwait
Lesotho;Lesotho
Lettonie;Latvia
Liban;Lebanon
Libye;Libya
Libéria;Liberia
Liechtenstein;Liechtenstein
Lituanie;Lithuania
Luxembourg;Luxembourg
Macédoine du Nord;North Macedonia
Madagascar;Madagascar
Malaisie;Malaysia
Malawi;Malawi
Maldives;Maldives
Mali;Mali
Malte;Malta
Maroc;Morocco
Martinique;Martinique
Maurice;Mauritius
Mauritanie;Mauritania
Mayotte;Mayotte
Mexique;Mexico
Micronésie (États fédérés de);Micronesia, Fed. Sts.
Monaco;Monaco
Mongolie;Mongolia
Montserrat;Montserrat
Monténégro;Montenegro
Mozambique;Mozambique
Myanmar;Myanmar
Namibie;Namibia
Nauru;Nauru
Nicaragua;Nicaragua
Niger;Niger
Nigéria;Nigeria
Nioué;Niue
Norvège;Norway
Nouvelle-Calédonie;New Caledonia
Nouvelle-Zélande;New Zealand
Népal;Nepal
Oman;Oman
Ouganda;Uganda
Ouzbékistan;Uzbekistan
Pakistan;Pakistan
Palaos;Palau
Palestine;West Bank and Gaza
Panama;Panama
Papouasie-Nouvelle-Guinée;Papua New Guinea
Paraguay;Paraguay
Pays-Bas (Royaume des);Netherlands
Philippines;Philippines
Pologne;Poland
Polynésie française;French Polynesia
Porto Rico;Puerto Rico
Portugal;Portugal
Pérou;Peru
Qatar;Qatar
Roumanie;Romania
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;United Kingdom
Rwanda;Rwanda
République arabe syrienne;Syrian Arab Republic
République centrafricaine;Central African Republic
République de Corée;Korea, Rep.
République de Moldova;Moldova
République dominicaine;Dominican Republic
République démocratique du Congo;Congo, Dem. Rep.
République démocratique populaire lao;Lao PDR
République populaire démocratique de Corée;Korea, Dem. People's Rep.
République-Unie de Tanzanie;Tanzania
Réunion;Réunion
Sahara occidental;Western Sahara
Saint-Barthélemy;Saint-Barthélemy
Saint-Kitts-et-Nevis;St. Kitts and Nevis
Saint-Marin;San Marino
Saint-Martin (partie française);Saint-Martin (French part)
Saint-Pierre-et-Miquelon;Saint-Pierre-et-Miquelon
Saint-Siège;Vatican
Saint-Vincent-et-les Grenadines;St. Vincent and the Grenadines
Sainte-Lucie;St. Lucia
Samoa;Samoa
Samoa américaines;American Samoa
Sao Tomé-et-Principe;São Tomé and Príncipe
Serbie;Serbia
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapour;Singapore
Sint Maarten (partie néerlandaise);Sint Maarten (Dutch part)
Slovaquie;Slovak Republic
Slovénie;Slovenia
Somalie;Federal Republic of Somalia
Soudan;Sudan
Soudan du Sud;South Sudan
Sri Lanka;Sri Lanka
Suisse;Switzerland
Suriname;Suriname
Suède;Sweden
Sénégal;Senegal
Tadjikistan;Tajikistan
Tchad;Chad
Tchéquie;Czechia
Thaïlande;Thailand
Timor-Leste;Timor-Leste
Togo;Togo
