Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","41454.761","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","29701.149","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","10948.055","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","63212.384","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","18898.9","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","41711.727","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2811.655","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1043.276","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1904.065","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","46164.219","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","11173.795","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","34005.054","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","84548.231","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","18356.449","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","64200.283","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","80.856","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","9.478","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","68.043","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","36749.906","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","11306.633","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","24802.445","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","14.41","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","0","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","15.521","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","93.316","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","81.825","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","26.313","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","33264.292","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","5464.682","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","30846.442","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","032","Argentine","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","45538.401","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","032","Argentine","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","3520.257","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","032","Argentine","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","43186.763","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","051","Arménie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2943.393","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","051","Arménie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1065.772","X","Chiffre de source externe",""
