Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","004","Afghanistan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","13364","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","175215","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4877","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","195862","E","Valeur estimée",""
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","156301","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","024","Angola","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","47757","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","160","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","682","Arabie saoudite","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","215700","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","032","Argentine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","113418","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","051","Arménie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4186","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","036","Australie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","108222","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","040","Autriche","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","17804","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","031","Azerbaïdjan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","28698","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","044","Bahamas","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","3269","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","048","Bahreïn","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1838","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","050","Bangladesh","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","319689","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","052","Barbade","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5379","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","112","Bélarus","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","116799","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","056","Belgique","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","48754","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","084","Belize","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1710","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","204","Bénin","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","17638","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","064","Bhoutan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","819","A","Chiffre officiel",""
