Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","1.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","133580","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","12.19","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1632150","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","10.69","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","48770","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","27.24","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2000270","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.09","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","9.13","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1563010","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","480310","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","16.37","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1580","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","32.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2143310","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","2.58","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1134180","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","8.95","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","41860","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","2.98","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1085200","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.25","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","286980","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","2.5","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","89.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","32460","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","2.27","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","53.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","18390","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.34","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","16.43","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","3196890","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","5.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","75.71","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","50220","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.15","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","27.39","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1196580","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.36","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","12.65","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","487540","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.09","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","16.72","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","17030","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","7.76","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","176380","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","4.54","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","8190","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","17.9","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2232380","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","18.79","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","93830","E","Valeur estimée"
