Pays;Pourcentage de population urbaine;Croissance annuelle du PIB par habitant en %;PIB par habitant en US$;Stabilité politique;Émissions de CO2 par personne imputables à l'élevage;Densité des poulets dans la superficie agricole par habitant;Part des poulets dans l'élevage en %;Taux de dépendance aux importations de viande de volaille en %;Taux d'autosuffisance en viande de volaille en %
Afghanistan;26.409644479677496;13.367738;396.015997;-2.48408055305481;0.36;0.0;1.91;14.705882352941178;85.29411764705883
Afrique du Sud;65.98663799802267;-8.012762;5976.385898;-0.665642023086548;0.37;0.02;12.19;15.330848089468779;86.9990680335508
Albanie;67.72043511739527;22.158933;8172.294966;0.183348968625069;0.67;0.05;10.69;74.28571428571429;25.71428571428571
Algérie;73.66106204461079;8.111885;5364.027937;-0.577885270118713;0.28;0.05;27.24;0.0;100.43859649122805
Allemagne;75.93332496808833;8.103028;53528.073268;0.586989283561707;0.49;0.09;9.13;51.52519893899205;101.52519893899203
Angola;67.48981888552314;-22.504643;2464.010769;-0.34150505065918;0.26;0.01;11.05;77.94117647058823;22.058823529411764
Antigua-et-Barbuda;28.197736722534184;8.295825;21787.218471;0.923393249511719;0.22;0.18;16.37;100.0;0.0
Arabie saoudite;92.73139497452703;-6.849982;32093.96389;-0.213224530220032;0.32;0.01;32.18;31.512605042016805;73.52941176470588
Argentine;94.83592320248574;1.806923;14187.482741;-0.127517908811569;2.56;0.01;2.58;0.28195488721804507;109.44548872180451
Arménie;63.64753194697413;21.474681;8228.118818;-0.829278230667114;0.36;0.03;8.95;75.47169811320755;26.41509433962264
Australie;86.07860671629682;-1.240942;67128.630651;0.91705721616745;3.82;0.0;2.98;0.3558718861209964;104.12811387900356
Azerbaïdjan;57.5893369846137;-8.389942;7012.47576;-0.730753898620605;0.58;0.06;11.25;19.753086419753085;85.18518518518519
Bahamas;87.47621670338474;8.631098;35896.392021;1.00856232643127;0.05;2.5;89.91;78.57142857142857;21.428571428571427
Bahreïn;103.53998876194044;-1.666138;28453.484338;-0.373967587947845;0.03;2.27;53.91;88.88888888888889;14.285714285714285
Bangladesh;41.29460370185538;-3.604618;2463.628461;-0.908656716346741;0.26;0.34;16.43;0.0;100.0
Barbade;32.15849200952057;7.399373;23804.024967;1.18712854385376;0.2;5.02;75.71;16.666666666666664;83.33333333333334
Belgique;98.48811903259083;7.992642;55048.975235;0.403853088617325;0.69;0.36;12.65;146.15384615384613;219.4871794871795
Belize;47.753377474422656;6.20722;7488.598243;0.58532577753067;0.56;0.09;16.72;0.0;95.65217391304348
Bhoutan;48.58663377353332;3.449011;3839.329336;0.982800424098969;0.53;0.02;4.54;75.0;25.0
Bolivie (État plurinational de);69.96934620009426;1.16225;3686.279814;-0.313183635473251;2.43;0.06;17.9;0.5424954792043399;99.45750452079565
Bosnie-Herzégovine;54.84819343230124;12.841229;8638.667156;-0.353373318910599;0.5;0.08;18.79;21.91780821917808;97.26027397260275
Botswana;74.5150477130476;-6.110424;7820.102062;1.03843998908997;0.67;0.0;1.21;71.42857142857143;14.285714285714285
Brésil;90.61387014534746;11.811417;10377.589772;-0.408567786216736;2.45;0.07;7.81;0.01991635132443736;149.0838478390759
Burkina Faso;32.087361572526376;5.569968;882.68981;-2.035231590271;0.89;0.02;3.91;0.0;100.0
Bélarus;82.87377354185315;-1.984493;7882.833433;-0.729365646839142;1.38;0.15;27.39;6.413301662707839;114.96437054631829
Cabo Verde;76.54801265863983;11.927953;4961.176456;0.903245568275452;0.21;0.08;11.43;100.0;7.6923076923076925
Cambodge;25.513031540621263;6.720846;2457.781843;0.0444938205182552;0.4;0.02;4.54;64.70588235294117;39.705882352941174
Cameroun;58.44309705316243;8.223911;1736.86091;-1.40043640136719;0.39;0.05;9.65;1.6666666666666667;98.33333333333333
Canada;80.31571711365946;-2.084826;54517.041588;0.822420537471771;0.83;0.03;10.12;13.043478260869565;97.12186160440906
Chili;84.42973858827341;10.463195;17067.813622;0.13615994155407;0.41;0.05;14.31;15.591397849462366;102.15053763440861
Chine - RAS de Hong-Kong;103.25239354248048;6.500812;51165.632553;0.673060536384583;0.01;10.55;57.25;102.8301886792453;7.547169811320755
Chine, Taiwan Province de;82.29690641800272;2.6;33500.0;2.0;0.08;1.32;42.25;24.41742654508612;75.88652482269504
Chine, continentale;65.11919179731676;-0.305031;12508.76621;-0.513097047805786;0.26;0.1;19.57;5.005154048791662;97.850570763181
Colombie;80.65824888565145;4.099825;6948.242851;-0.717313230037689;1.27;0.05;7.84;2.7301927194860816;97.26980728051392
Comores;32.82211510759219;9.669957;1702.630215;-0.226316764950752;0.13;0.04;11.33;94.73684210526315;5.263157894736842
Congo;68.68033288667021;-0.785179;2291.271039;0.0191620066761971;0.09;0.0;11.65;96.90265486725663;3.0973451327433628
Costa Rica;83.6671253201189;24.336906;16942.025168;0.984186828136444;1.01;0.16;13.3;18.333333333333332;82.77777777777777
Croatie;60.84440466598888;18.938464;21660.899058;0.59771203994751;0.41;0.07;16.47;49.36708860759494;91.13924050632912
Côte d'Ivoire;48.06150065068424;9.501399;2528.065957;-0.631788194179535;0.15;0.05;45.11;0.8403361344537815;100.0
Danemark;87.27364337331896;0.510165;68440.24516;0.850847959518433;1.34;0.08;4.63;73.77049180327869;130.327868852459
El Salvador;78.59492102857476;5.841748;5391.068504;0.0023323998320847;0.3;0.16;22.38;13.227513227513226;87.3015873015873
Estonie;65.82457818776533;6.250303;30201.408739;0.660533905029297;0.62;0.02;8.86;89.28571428571429;82.14285714285714
Eswatini;30.41212314283717;0.41139;3716.788827;-0.357591271400452;0.72;0.02;5.62;66.66666666666666;50.0
Fidji;59.787479237565535;8.949134;5888.7335;0.744343459606171;0.57;0.18;27.83;8.695652173913043;93.47826086956522
Finlande;86.29357894802617;4.85596;52762.462742;0.713986694812775;0.49;0.08;16.05;19.858156028368796;102.12765957446808
France;81.73518639448484;8.872967;45934.463007;0.343697965145111;0.79;0.08;10.48;40.161104718066746;86.65132336018412
Fédération de Russie;74.17236670666011;-11.375642;13809.214384;-1.13433384895325;0.45;0.02;19.71;1.849688473520249;103.97196261682242
Gabon;83.61957494177574;-4.01739;8071.403834;-0.335527300834656;0.08;0.02;25.47;95.40229885057471;4.597701149425287
Gambie;59.64593962959325;6.43011;890.027675;-0.0120199294760823;0.21;0.02;4.06;97.61904761904762;2.380952380952381
Ghana;57.269356729154694;0.893098;2260.287344;-0.0216207038611174;0.22;0.07;24.66;75.81699346405229;24.18300653594771
Grenade;34.99372229482153;7.371208;11246.345123;1.01801919937134;0.22;0.5;31.11;87.5;12.5
Guatemala;55.397609622772904;7.554019;5762.840913;-0.244364932179451;0.54;0.1;10.99;26.324786324786327;75.38461538461539
Guinée;39.25269210274876;14.86311;1597.042473;-0.877875149250031;0.98;0.02;7.24;82.35294117647058;17.647058823529413
Guinée-Bissau;45.273967545286645;14.13598;855.14715;-0.327665239572525;0.67;0.03;3.47;62.5;37.5
Guyana;26.39828257415415;12.7005;20188.593892;-0.05517203733325;0.49;0.45;76.64;1.5625;98.4375
Géorgie;61.57680699000812;21.809489;8019.85155;-0.335554122924805;0.47;0.04;11.36;84.61538461538461;32.05128205128205
Haïti;60.213537424774856;4.596142;1704.952868;-1.43452179431915;0.39;0.03;3.14;91.52542372881356;7.627118644067797
Honduras;57.495966829408886;7.603903;3231.657268;-0.45921716094017;0.62;0.13;17.12;8.171206225680933;93.77431906614785
Hongrie;71.57104714073651;19.725823;21954.006896;0.731891810894012;0.36;0.06;18.32;38.111888111888106;178.67132867132867
